site,ZCR,MEANt,VARt,SKEWt,KURTt,LEQt,BGNt,SNRt,M,Ht,ACTtFraction,ACTtCount,ACTtMean,EVNtFraction,EVNtMean,EVNtCount,MEANf,VARf,SKEWf,KURTf,NP,LEQf,BGNf,SNRf,Hf,EAS,ECU,ECV,EPS,EPS_KURT,EPS_SKEW,ACI,NDSI,rBA,AnthroEnergy,BioEnergy,BIO,ROU,ADI,AEI,LFC,MFC,HFC,ACTspFract,ACTspCount,ACTspMean,EVNspFract,EVNspMean,EVNspCount,TFSD,H_Havrda,H_Renyi,H_pairedShannon,H_gamma,H_GiniSimpson,RAOQ,AGI,nROI,aROI,H,LAT,LON,species_richness,count,habitat
UHH_S01,6544.840769230769,6.42121373736147e-11,0.0003692415539383864,-0.0198924805386255,23.6598973337628,96.8464193685962,-37.6528203567398,3.290552212390072,0.015424701685500964,0.9054790869129709,0.18723556296616095,967.4461538461538,7.93827111797451,0.15454288308942843,0.056589536768677395,2.6370729752970608,0.0001276900048345525,2.796733533753931e-07,9.05386718819628,124.0929376401416,13.287179487179488,43.26401096864913,-49.28044186450178,5.565052746430541,0.4959910694771918,0.06789124355754196,0.45907725978990593,0.3546910267172274,0.06802797545808739,116.31491731913681,7.753418101206543,301.8173428005265,-0.5228927641072781,0.4319938985665728,0.6824120177963833,0.054071545194135984,8.709824841939518,0.8297877307579616,1.8111889228415752,0.32595245797642214,0.15045618050288517,0.1463886132465759,0.1317336849735049,0.13884811517242915,717.2893629807693,10.271411223827833,0.011601997186981896,0.054469353423505666,0.15952172571588885,0.5067672050365429,0.3043777356566159,1.733944499893578,3.9743077867416954,11915.684087190319,0.8007353150873837,0.31615819823151475,1.3043833394531046,54.979919090056285,1.0198737647289478,0.45616238085511496,19.801668,-155.609444,2.6,195,Shrubland - Subtropical-tropical high altitude
UHH_S02,5073.1762886597935,9.310293000029925e-10,0.0001799773853610989,-0.08588151602561532,100.98854609525115,97.55052412931974,-36.04184864277086,5.087038408327318,0.0181259605169451,0.8404640266435605,0.2564191069814585,1324.9175257731958,9.836746258828827,0.2037593849947825,0.06567204962442198,3.395795354538597,0.00021827158370395,2.5701676659661234e-07,3.282478614908608,20.500263334225444,19.061855670103093,45.808301887350964,-50.05144658013285,8.880348380763433,0.6724716386269171,0.10638595192232615,0.43172977517286415,0.2714496807800071,0.14745881907576835,18.2833324246067,3.113360813837616,327.1577943591269,-0.06933011552308588,0.9451072014824465,0.6689643010373176,0.6833681817180479,39.6121431115425,1.0649195217960896,1.9137454683260335,0.4268202459063937,0.18914355314079256,0.20776372511348618,0.15781882824675011,0.1807598085070504,933.8051707474227,14.18500292991155,0.040630162060319004,0.06619682498228749,0.5203049979587415,0.51424684318997,0.3318321422383215,3.3390744182558216,5.176310977694433,9296.681737812665,0.9641262846138646,0.18558719925691056,1.5573576031735725,176.68586560221274,3.573540323377277,0.5638190482212541,19.792975,-155.321332,4.072164948453608,97,Forest - Subtropical-tropical moist montane
risoux3,2717.534285989659,1.0207041476763113e-19,0.0003308644785474306,0.03381926473153073,11.02729151829371,95.63607051279703,-38.72567162807618,2.4612663915811885,0.01452796459651135,0.9320192991883208,0.20324379993917438,1050.1607142857142,6.632861949885489,0.16662749868672064,0.04981113545923827,3.384622713414634,9.953780167142513e-05,1.4794549124430468e-07,8.472898708044452,101.78793680867116,8.303571428571429,40.653626962428135,-51.44407592698275,5.118302802690515,0.47525222031674125,0.0728850889999358,0.31045685290995245,0.24115624295351523,0.07020082386971012,10.968586403976369,2.1732926921397135,301.95862522063555,-0.6320904676725461,0.31102937108204953,0.37219107954913744,0.07328809272278737,26.897458782857694,0.5165579181399114,1.7975455143801173,0.3858444418762867,0.15017564282242907,0.16964450229463549,0.12820741629287183,0.1450633539588345,749.3972865513393,10.621834300618739,0.020205381123485935,0.053358744558821114,0.22735984373877374,0.5348408397538112,0.3146642279190951,1.8478013740438521,3.871523943035219,10368.944527567612,0.8384141820056691,0.17382218334197153,1.352236339088756,75.02858231707317,2.480926353328425,0.4445344369055907,46.53000000000001,6.068,4.5,56,Forest - Temperate
site_162,9718.883333333333,1.4840724607985732e-10,0.00011696694723823283,-0.001388971809208625,5.136171554170918,97.19810277364292,-33.64211814119728,1.2156558541393987,0.02129544020065819,0.9731698851683669,0.10807904866352705,558.4444444444445,4.891888194861725,0.07619938498591484,0.05389001894864034,1.4704675855352303,0.00023255513049569721,1.011342720953753e-07,7.024433086305401,83.8025218868227,7.583333333333333,44.02538792671683,-46.78795084251699,3.833938682513445,0.7276018904082892,0.0402011931754014,0.2964572371999777,0.22583605070301319,0.08937651806149031,12.89637357645775,2.587073665893355,298.5775173141667,-0.3761655139161244,0.5358608013487953,0.2817908295380389,0.22030932827254623,15.809943203093544,0.6428709228303653,2.2661330566409714,0.07777291476799576,0.15324466483435517,0.1615436722442939,0.12563405200098732,0.14115420764977737,729.20263671875,8.529434622717085,0.01670345316734413,0.04815278448721205,0.19980915287457265,0.5297458911501536,0.3285830513304169,2.715708713543537,5.505405399579556,38195.71370562227,0.9384020640262438,0.696038834427419,1.2888496597190915,98.0929242886179,2.1231696226932506,0.7081416894071647,52.77891,23.77517,3.25,36,Forest - Temperate
site_181,9702.811111111112,1.0653310765074378e-09,0.00030843400889861666,-0.04847773476861854,9.611204512090158,99.10551521876967,-32.0577979450932,1.7694262969451273,0.0266200147655145,0.9530271724444324,0.16551082725845642,855.1944444444445,5.743830691534162,0.13736748166784932,0.05937675076287538,2.0614334561314362,0.0003130819210417167,2.0255440082066804e-07,5.519881405085905,61.66415017307746,11.916666666666666,46.731982226947736,-46.02420054338495,5.776782683612312,0.7383250967645354,0.07102775229202564,0.30696533845931995,0.23395471923888275,0.10948966840221856,7.666671400009095,1.9184487696127366,300.4142704011656,-0.1383384690283179,0.8622492271832353,0.5606509860914382,0.5102723628071307,27.487056299315316,1.1231101873370308,2.2102505015890537,0.16556027112124744,0.15845890432899598,0.19588198258690842,0.12595330497211232,0.15425004646096804,796.8557400173611,11.329072773761212,0.03114838238536151,0.05518149782596641,0.34383810732048453,0.5369347399328837,0.3297009215189474,3.1443333880778446,5.5804225752553736,32980.043707610006,0.9535083627854504,0.535488921152047,1.374040786927776,124.07504446138212,4.1593614565857955,0.7046712461806948,52.74856,23.74537,3.7777777777777777,36,Forest - Temperate
site_183,6719.35238095238,-2.4457128153821604e-09,0.0009719009879723779,-0.01934939345564019,8.792318222609664,104.79885416969643,-27.748550340052315,2.4460615356784223,0.04546038596848164,0.9379153949926404,0.19919267881334843,1029.2285714285715,6.601268920051509,0.1715391633719483,0.06663335077406447,2.5533536585365852,0.0005295673141685058,9.243291798249542e-07,4.994036093712751,49.323245829246474,13.314285714285715,51.97165498779185,-41.81820090557183,6.810455806643307,0.6802324447642569,0.12035709418720267,0.3710576764781891,0.2576620138801209,0.12781753020563158,6.792399474469333,1.708797820085773,301.57398479409306,-0.11820025691489357,0.9608521856975776,2.009558835756704,2.497148745357374,43.010593546745504,4.275231259491865,2.0991339557294095,0.2922883650205443,0.15890066803403594,0.2199112608827714,0.12620221402354162,0.16317491427465292,842.9616071428571,14.227096572530801,0.041436917119490026,0.05964041172010254,0.41981798820089394,0.5398486790932345,0.3291742773793156,2.9661072020844266,5.2134517912350065,21019.10119012103,0.9449040379375575,0.3685902209951134,1.4976057972301113,141.7111280487805,5.435504422805708,0.6379835608849496,52.72515,23.77513,3.4571428571428573,35,Forest - Temperate
site_185,6527.825714285714,1.1695683468998942e-09,0.0006010552660294628,-0.01952184725489256,8.675562979528182,103.78615509969724,-28.27818562790112,2.005473891460467,0.04155730741287345,0.9487649434953676,0.19217009040891367,992.9428571428572,6.102766048432381,0.162702867096132,0.06109144212503508,2.555735518292683,0.0004350468248159,5.343985156559469e-07,5.208912852778336,50.20759080259924,10.885714285714286,51.164476124625985,-42.257613812927765,6.442689850833377,0.6605322984259097,0.09369563146183313,0.36353045341200896,0.27147891786269684,0.13271991821523202,12.438118550661562,2.41829992516733,301.65162838303144,-0.27037651043882577,0.6457737231497431,1.5794965915743127,1.2085800031436196,34.909356309065736,2.5208923414590396,2.0555050719450034,0.3121931532992861,0.16852038168666528,0.20409464598847663,0.12599390012468922,0.1581387229688623,816.9446428571429,11.846394182356168,0.03378900848957464,0.05364044498508001,0.38334149104928,0.541183343010102,0.32985639999622324,2.8948134599045368,5.091482239563956,19505.126489597144,0.9457846504708556,0.33982285405890333,1.3946385926879319,130.13528963414635,4.7173591235274595,0.6262339405572556,52.70648,23.77523,3.5142857142857142,35,Forest - Temperate
site_187,7547.812380952381,-8.636561497752543e-11,0.0007100540441923249,-0.029002320554483336,6.648703929197483,102.65627545039408,-29.4644465902677,2.074248470632776,0.03622337705880514,0.9506592249768955,0.19386214714258063,1001.6857142857143,6.127548132148636,0.16562249440128282,0.06622699528243524,2.666730182926829,0.0003747065931102228,4.418654288537017e-07,5.248771402490057,56.078273365589176,10.285714285714286,49.42904953169657,-43.51262811400314,5.9622775589793395,0.6833110086990756,0.08263694523883548,0.3099818715808155,0.2301703537690346,0.12241369669028901,9.42864758368153,2.070033776997583,300.77267143262355,-0.21567246556494957,0.8033711831866538,1.1616412072126732,0.7109717398627232,33.47347280769259,2.0075338604519453,2.148860507203117,0.20826371986882236,0.16175696363997938,0.21151340063002283,0.12566766194945822,0.1601083103464963,827.11953125,11.526894444630926,0.03753941680838997,0.05541537176815767,0.39818353643722015,0.5417078085689254,0.3254403469555533,2.9657123713519664,5.221976266024995,25521.998483590418,0.9290208702888246,0.4114598886316355,1.4015539167577478,124.8189786585366,5.080940023367071,0.6513789447944379,52.72032,23.79203,3.0285714285714285,35,Forest - Temperate
site_188,6137.24362745098,-7.694902558763463e-10,0.0008616863856217603,-0.047943635267478024,7.84748113321232,104.30861502097083,-28.628689289754224,2.0977343633052596,0.039446509009946756,0.9472936770949992,0.19739523446305168,1019.9411764705883,6.112151160115533,0.1685470007627591,0.05671188317016299,2.8339227268651364,0.0003942327196253,4.779120201497615e-07,6.863696151036591,82.59698356448065,11.205882352941176,50.30758522319118,-42.42088999750849,5.749075133979295,0.6124016231511954,0.08168394101813055,0.3129661266440018,0.23481224817162993,0.10907067559932468,11.045100523373458,2.34253087501209,300.48149912500185,-0.40684393619577663,0.520125314821318,1.2907766025799492,0.9237755408502043,28.009258748945836,2.3381404891949593,2.0929751248420763,0.25994079705354606,0.15654149568493714,0.19420852119814055,0.12579720118620738,0.15334425341528884,792.1764131433823,11.733305598286115,0.031860665696664806,0.05465617719407927,0.32908092998615196,0.5360715063521916,0.32061361907256053,2.4636485091823843,4.759038754159812,20088.983645520773,0.8945026237840006,0.36120257724418764,1.3963870656490935,94.38889885222382,4.184271523650111,0.5820292782587018,52.71145,23.79128,2.6470588235294117,34,Forest - Temperate
site_193,5979.160493827161,8.399133519981785e-10,0.0010976654699085889,0.008336324265212124,8.17291833881351,106.35582054665025,-25.850951658305892,2.126585478768866,0.055241095648554374,0.9443261654305867,0.19377244478850825,1001.2222222222222,6.328484429152512,0.15631249596800204,0.05399510622260296,2.8640540311653115,0.0005515115757827704,7.996256458290348e-07,4.892892833864943,53.807082588947246,9.925925925925926,52.613876862954164,-40.173899534562175,5.808376310795962,0.684148232782828,0.0808880517370567,0.31412682878046483,0.2384015592544031,0.11862795180341588,7.1499813225583,1.8050255810650382,304.29651349948386,-0.13512612429366047,1.0468146685579005,1.76874854709474,1.9987101354014973,44.603193025556784,4.52826504258317,2.126789804616917,0.2403635708665245,0.16388921685006558,0.20484904153005537,0.1271560075775156,0.15859088784753583,819.2805266203703,11.426345873328078,0.031969066797149406,0.054227787996248764,0.3599832688042639,0.5457322648909343,0.32635871096739194,2.9890362626498055,5.230424243080473,20365.04951412589,0.9341721057429102,0.34993528859299233,1.4198229818092203,133.9399136178862,4.379618371456532,0.6478934557038625,52.70603,23.75899,3.814814814814815,27,Forest - Temperate
