indice,r,lower_bound_ci,upper_bound_ci,p_boot,p_perm,habitat,r_threshold
SKEWf,-0.2701376289143808,-0.34,-0.19,0.0,0.0,Arable land,0.15828210071471288
KURTf,-0.2785738014466829,-0.35,-0.2,0.0,0.0,Arable land,0.15828210071471288
NP,0.6007278075733338,0.54,0.65,0.0,0.0,Arable land,0.15828210071471288
LEQf,-0.05742306670595157,-0.13,0.02,0.16799999999999993,0.149,Arable land,0.15828210071471288
BGNf,0.10431011800505326,0.02,0.18,0.008,0.01,Arable land,0.15828210071471288
SNRf,-0.19754702203253866,-0.28,-0.13,0.0,0.0,Arable land,0.15828210071471288
Hf,0.16892325009648299,0.09,0.24,0.0,0.0,Arable land,0.15828210071471288
H,0.19882861502897592,0.12,0.27,0.0,0.0,Arable land,0.15828210071471288
EAS,0.4639281099780844,0.4,0.53,0.0,0.0,Arable land,0.15828210071471288
ECU,0.5572457590941832,0.49,0.62,0.0,0.0,Arable land,0.15828210071471288
ECV,0.5443792005596044,0.48,0.6,0.0,0.0,Arable land,0.15828210071471288
EPS,0.5247791869785189,0.46,0.59,0.0,0.0,Arable land,0.15828210071471288
EPS_KURT,0.5304262754980691,0.46,0.59,0.0,0.0,Arable land,0.15828210071471288
EPS_SKEW,0.5340504654691456,0.47,0.59,0.0,0.0,Arable land,0.15828210071471288
ACI,0.3163172316128281,0.24,0.38,0.0,0.0,Arable land,0.15828210071471288
NDSI,0.1687891978050164,0.09,0.24,0.0,0.0,Arable land,0.15828210071471288
rBA,0.1687891978050164,0.09,0.24,0.0,0.0,Arable land,0.15828210071471288
AnthroEnergy,-0.06169070767606784,-0.14,0.02,0.1419999999999999,0.112,Arable land,0.15828210071471288
BioEnergy,0.10437503261604249,0.03,0.19,0.008,0.013,Arable land,0.15828210071471288
BIO,0.29326265066313556,0.22,0.36,0.0,0.0,Arable land,0.15828210071471288
ROU,-0.05696304171365131,-0.13,0.02,0.17799999999999994,0.153,Arable land,0.15828210071471288
ADI,0.24526865717593313,0.17,0.32,0.0,0.0,Arable land,0.15828210071471288
AEI,-0.23761273868800703,-0.31,-0.16,0.0,0.0,Arable land,0.15828210071471288
LFC,0.08673740428615698,0.01,0.16,0.024,0.033,Arable land,0.15828210071471288
MFC,0.1208326794711218,0.05,0.2,0.004,0.002,Arable land,0.15828210071471288
HFC,-0.33931388879082724,-0.41,-0.27,0.0,0.0,Arable land,0.15828210071471288
ACTspFract,0.0731610720478176,0.0,0.15,0.054,0.049,Arable land,0.15828210071471288
ACTspCount,0.07248142330219248,0.0,0.15,0.054,0.054,Arable land,0.15828210071471288
ACTspMean,0.35862080460775136,0.29,0.43,0.0,0.0,Arable land,0.15828210071471288
EVNspFract,0.1563142988006812,0.08,0.23,0.0,0.0,Arable land,0.15828210071471288
EVNspMean,0.03299053438001516,-0.04,0.12,0.41,0.424,Arable land,0.15828210071471288
EVNspCount,0.1343740305728147,0.06,0.21,0.0,0.0,Arable land,0.15828210071471288
TFSD,0.40784700203042495,0.34,0.47,0.0,0.0,Arable land,0.15828210071471288
H_Havrda,0.23259287606878373,0.15,0.3,0.0,0.0,Arable land,0.15828210071471288
H_Renyi,0.23259287606878373,0.15,0.3,0.0,0.0,Arable land,0.15828210071471288
H_pairedShannon,0.17402703469342673,0.09,0.25,0.0,0.0,Arable land,0.15828210071471288
H_gamma,0.10790983830492418,0.03,0.18,0.008,0.005,Arable land,0.15828210071471288
H_GiniSimpson,0.2195228379803532,0.14,0.29,0.0,0.0,Arable land,0.15828210071471288
RAOQ,0.06558642894931939,-0.02,0.14,0.114,0.094,Arable land,0.15828210071471288
AGI,0.2649114235659321,0.19,0.34,0.0,0.0,Arable land,0.15828210071471288
nROI,0.5345054768600133,0.47,0.59,0.0,0.0,Arable land,0.15828210071471288
