indice,r,lower_bound_ci,upper_bound_ci,p_boot,p_perm,habitat,r_threshold
H_gamma,0.1007935204076271,0.05,0.15,0.0,0.0,all_balanced,0.10484144347238196
H_GiniSimpson,0.30763918950878133,0.26,0.35,0.0,0.0,all_balanced,0.10484144347238196
RAOQ,0.07230210748659041,0.02,0.12,0.008,0.007,all_balanced,0.10484144347238196
AGI,0.44628638559260897,0.41,0.49,0.0,0.0,all_balanced,0.10484144347238196
nROI,0.6907412717582454,0.67,0.72,0.0,0.0,all_balanced,0.10484144347238196
aROI,0.6478798587318209,0.62,0.67,0.0,0.0,all_balanced,0.10484144347238196
ZCR,0.21331644010611756,0.19,0.24,0.0,0.0,all_unbalanced,0.059834042277819084
MEANt,-0.015107202726067692,-0.04,0.01,0.32400000000000007,0.259,all_unbalanced,0.059834042277819084
VARt,0.01774042133853841,-0.01,0.04,0.168,0.208,all_unbalanced,0.059834042277819084
SKEWt,-0.009609509070281576,-0.04,0.02,0.44599999999999995,0.501,all_unbalanced,0.059834042277819084
KURTt,0.06836421478127226,0.04,0.1,0.0,0.0,all_unbalanced,0.059834042277819084
LEQt,0.017660859357541997,-0.01,0.04,0.168,0.211,all_unbalanced,0.059834042277819084
BGNt,0.07496320992498212,0.05,0.1,0.0,0.0,all_unbalanced,0.059834042277819084
SNRt,0.06982876214194829,0.04,0.1,0.0,0.0,all_unbalanced,0.059834042277819084
M,0.07496320992498212,0.05,0.1,0.0,0.0,all_unbalanced,0.059834042277819084
Ht,-0.0531151612760745,-0.08,-0.03,0.0,0.0,all_unbalanced,0.059834042277819084
ACTtFraction,0.12331512237874932,0.1,0.15,0.0,0.0,all_unbalanced,0.059834042277819084
ACTtCount,0.12327469775705034,0.1,0.15,0.0,0.0,all_unbalanced,0.059834042277819084
ACTtMean,0.05418336487583835,0.03,0.08,0.0,0.0,all_unbalanced,0.059834042277819084
EVNtFraction,0.16045498031645794,0.13,0.19,0.0,0.0,all_unbalanced,0.059834042277819084
EVNtMean,0.2123160574385077,0.18,0.24,0.0,0.0,all_unbalanced,0.059834042277819084
EVNtCount,0.09613914039533668,0.07,0.12,0.0,0.0,all_unbalanced,0.059834042277819084
MEANf,0.15602609071825538,0.13,0.18,0.0,0.0,all_unbalanced,0.059834042277819084
VARf,0.05843727541216003,0.03,0.08,0.0,0.0,all_unbalanced,0.059834042277819084
SKEWf,-0.3139954520828503,-0.34,-0.29,0.0,0.0,all_unbalanced,0.059834042277819084
KURTf,-0.3223471238900401,-0.35,-0.3,0.0,0.0,all_unbalanced,0.059834042277819084
NP,0.4607296626454472,0.44,0.48,0.0,0.0,all_unbalanced,0.059834042277819084
LEQf,0.06318374773215915,0.03,0.09,0.0,0.0,all_unbalanced,0.059834042277819084
BGNf,-0.00415634849688805,-0.03,0.02,0.804,0.76,all_unbalanced,0.059834042277819084
SNRf,0.2558569634020729,0.23,0.28,0.0,0.0,all_unbalanced,0.059834042277819084
Hf,0.21931424626026017,0.2,0.25,0.0,0.0,all_unbalanced,0.059834042277819084
H,0.21817638596325048,0.19,0.25,0.0,0.0,all_unbalanced,0.059834042277819084
EAS,0.5647252647152518,0.54,0.58,0.0,0.0,all_unbalanced,0.059834042277819084
ECU,0.3945529852895658,0.37,0.42,0.0,0.0,all_unbalanced,0.059834042277819084
ECV,0.364655904356968,0.34,0.39,0.0,0.0,all_unbalanced,0.059834042277819084
EPS,0.6052029055085308,0.59,0.62,0.0,0.0,all_unbalanced,0.059834042277819084
EPS_KURT,-0.04819354806667159,-0.08,-0.02,0.0020000000000000018,0.002,all_unbalanced,0.059834042277819084
EPS_SKEW,0.0042859570477437195,-0.03,0.03,0.75,0.746,all_unbalanced,0.059834042277819084
ACI,0.15486632118729596,0.13,0.18,0.0,0.0,all_unbalanced,0.059834042277819084
NDSI,0.4187570132856919,0.4,0.44,0.0,0.0,all_unbalanced,0.059834042277819084
rBA,0.4187570132856919,0.4,0.44,0.0,0.0,all_unbalanced,0.059834042277819084
AnthroEnergy,-0.08900985500008131,-0.12,-0.07,0.0,0.0,all_unbalanced,0.059834042277819084
BioEnergy,0.3445707431715542,0.32,0.36,0.0,0.0,all_unbalanced,0.059834042277819084
BIO,0.558505062671213,0.54,0.58,0.0,0.0,all_unbalanced,0.059834042277819084
ROU,0.07430002368053844,0.05,0.1,0.0,0.0,all_unbalanced,0.059834042277819084
ADI,-0.11206074166374468,-0.14,-0.08,0.0,0.0,all_unbalanced,0.059834042277819084
AEI,0.10618034986336315,0.08,0.13,0.0,0.0,all_unbalanced,0.059834042277819084
LFC,0.3197551239861817,0.29,0.34,0.0,0.0,all_unbalanced,0.059834042277819084
MFC,0.5719844646901697,0.55,0.59,0.0,0.0,all_unbalanced,0.059834042277819084
HFC,-0.11330431271889582,-0.14,-0.09,0.0,0.0,all_unbalanced,0.059834042277819084
ACTspFract,0.4488184595404885,0.42,0.47,0.0,0.0,all_unbalanced,0.059834042277819084
ACTspCount,0.448761143463359,0.42,0.47,0.0,0.0,all_unbalanced,0.059834042277819084
ACTspMean,0.5349137396306155,0.51,0.55,0.0,0.0,all_unbalanced,0.059834042277819084
EVNspFract,0.5470997582796857,0.52,0.57,0.0,0.0,all_unbalanced,0.059834042277819084
EVNspMean,0.42782603349953974,0.4,0.45,0.0,0.0,all_unbalanced,0.059834042277819084
EVNspCount,0.5202012503289282,0.5,0.54,0.0,0.0,all_unbalanced,0.059834042277819084
TFSD,0.5114627715172252,0.49,0.53,0.0,0.0,all_unbalanced,0.059834042277819084
H_Havrda,0.290941843993834,0.27,0.32,0.0,0.0,all_unbalanced,0.059834042277819084
H_Renyi,0.290941843993834,0.27,0.32,0.0,0.0,all_unbalanced,0.059834042277819084
H_pairedShannon,0.22171058640649516,0.2,0.25,0.0,0.0,all_unbalanced,0.059834042277819084
H_gamma,0.10303446093529374,0.08,0.13,0.0,0.0,all_unbalanced,0.059834042277819084
H_GiniSimpson,0.2793030142065966,0.26,0.3,0.0,0.0,all_unbalanced,0.059834042277819084
RAOQ,0.08859619459319014,0.06,0.12,0.0,0.0,all_unbalanced,0.059834042277819084
