site,day,ZCR,MEANt,VARt,SKEWt,KURTt,LEQt,BGNt,SNRt,M,Ht,ACTtFraction,ACTtCount,ACTtMean,EVNtFraction,EVNtMean,EVNtCount,MEANf,VARf,SKEWf,KURTf,NP,LEQf,BGNf,SNRf,Hf,EAS,ECU,ECV,EPS,EPS_KURT,EPS_SKEW,ACI,NDSI,rBA,AnthroEnergy,BioEnergy,BIO,ROU,ADI,AEI,LFC,MFC,HFC,ACTspFract,ACTspCount,ACTspMean,EVNspFract,EVNspMean,EVNspCount,TFSD,H_Havrda,H_Renyi,H_pairedShannon,H_gamma,H_GiniSimpson,RAOQ,AGI,nROI,aROI,H,LAT,LON,species_richness,count,habitat
KN-13,2015-05-10,6300.976426362442,4.196259862471875e-10,3.4344050701496483e-05,0.060320279392793115,38.59088880001578,91.02335554473082,-42.315976351971614,3.658338931483517,0.00807689685022448,0.8948616876211815,0.17648426457256425,911.9333333333333,8.395569642338161,0.1455974776819552,0.06713887209884621,2.0751369146030703,0.00012041995974119067,4.5806202542443504e-08,4.998388607606412,45.59081347894762,18.333333333333332,39.88814062223267,-54.67124011366047,7.579980649172767,0.6432960935551066,0.1482628257399345,0.42022035044724076,0.29836152245722297,0.15240282961124424,11.80028092683297,2.345128618467662,309.817999245538,-0.10294325176393047,1.3346734484994422,0.08212968515333238,0.11830698653823071,37.19947060885874,0.24177329219908217,2.109249432694069,0.2863667777978424,0.17022728544103508,0.2186686660777979,0.12862456419685578,0.1649451331578479,852.1475260416667,17.082878228455954,0.03943296027373892,0.06248892301382374,0.473101225058339,0.5633761315821855,0.329157314090221,2.906393972633607,4.979490177659647,15755.98507435721,0.9377124073269063,0.28227750776080607,1.6204140527484374,258.2225173120224,5.24128572768122,0.569778836833716,50.96601203083992,-0.3636190295219421,6.533333333333333,15,Shrubland - Temperate
KN-13,2015-05-11,4580.207626276178,-7.314596008085934e-11,4.049266591177544e-05,0.0055012129982714665,10.862356588550087,92.70966632164125,-40.02622929710506,2.5320698840035907,0.010356711914767414,0.9319891732644948,0.14971274199227733,773.6,7.116439086620327,0.11406510675532165,0.060548761454168806,1.9117413353347776,0.00011694315515703896,5.757307112538188e-08,6.431979243696138,67.7990936960475,16.466666666666665,41.3880091718105,-51.23427650028088,5.642885585371009,0.5612847039240217,0.1620008381280602,0.46040497412849446,0.3353511463864474,0.1504314139669998,8.742488666662696,2.152117726078777,308.74010840073583,-0.3781404454002069,0.6439008905776026,0.13747857901504149,0.11211768613414677,33.96213314580758,0.25899001559118356,2.017036191255605,0.3568905649827921,0.15728619581362963,0.21011076399318576,0.12771589334544078,0.1602224858782823,827.750390625,15.99678808808311,0.03361391993113637,0.05693799080267499,0.42150765665352885,0.5613995626019251,0.3238020256767539,2.3100888752476982,4.442349557185883,11251.51734391733,0.8932586335448168,0.20561717726014703,1.5278436866723735,238.5476974538228,4.531543098874324,0.5189259624692986,50.96601203083992,-0.3636190295219421,5.866666666666666,15,Shrubland - Temperate
KN-14,2015-05-09,2060.9554398749833,-1.717517558445087e-10,0.00047229722679428045,0.1413125104896319,18.724541603458146,100.99174867545798,-37.01386045194968,4.8154134986703285,0.01604041484195006,0.8693097023433936,0.2972425078737554,1535.9333333333334,9.20530903394345,0.2655172526570242,0.06569172650823898,4.108001526947121,0.0001094771577888645,5.391349293589584e-07,12.519252727424968,182.73620873487684,13.733333333333333,47.46286185698167,-47.06173566106332,7.545197431324616,0.26904746824971626,0.09812579790786073,0.39053964306428485,0.28365537133126983,0.09284445795816881,6.80133595842986,1.879650630782728,302.32222608758013,-0.8669516538237108,0.09605547595963139,1.3216940485310842,0.014252144210519253,22.406776573758346,1.451880001407248,0.8072049603173986,0.767096326242141,0.19526715349493504,0.1976916020153939,0.1287712138704993,0.15987249101357723,825.94609375,12.710287996173797,0.031885885411011984,0.05772671127378753,0.4102378140093758,0.5383514887803447,0.2805425928838815,0.9740427850704113,2.4722027742974237,2940.9783395944805,0.6608697662913566,0.07247539257443365,1.410888350604076,131.98134111823626,2.6330590382152357,0.23561818594035933,50.97355063073337,-0.3770876582711939,5.4,15,Shrubland - Temperate
KN-14,2015-05-10,5780.663700930949,6.359624747473139e-10,2.9514479076012638e-05,0.03184391130579103,9.96527357188518,88.26023772066627,-45.49155464281057,2.8942797316080697,0.005894601469026727,0.9303557859888234,0.1983259419196564,1024.8,7.1601916834558095,0.16574866936578342,0.05962412763573591,2.501967688748641,6.850056727177026e-05,3.307978240042092e-08,8.660558354536827,114.08045430487914,15.8,35.60237035979766,-57.24557194778246,5.868542220859757,0.5116544631707877,0.09210370840922726,0.37838826703269834,0.28093220490036147,0.12344257170695423,18.854923430323748,2.684446430811848,303.8745664533497,-0.42613233846497445,0.8253511338675126,0.07197686825514668,0.06415330088960013,22.499408223718774,0.15339040842393079,1.9677004075549605,0.31957650704286245,0.16412347968938032,0.19513828225484442,0.1289061330743611,0.15607549762593056,806.3298177083333,12.897548046879555,0.03409090556009044,0.057048403979326895,0.3960536583030301,0.5436383463182298,0.3115384212704822,2.0883858004196862,4.091723125097039,14991.358445817523,0.8283761660890785,0.27243220787893985,1.495568159204686,173.32713511992145,3.818761380891734,0.4731193094041509,50.97355063073337,-0.3770876582711939,6.933333333333334,15,Shrubland - Temperate
KN-14,2015-05-11,5013.843516270501,-1.5672972138594203e-10,1.2871330627736334e-05,-0.0018624940684058128,6.442854042142769,87.88947904327448,-44.445067620138964,1.9239513778028088,0.006173978618530526,0.9505465270976469,0.16199562327248232,837.0666666666667,6.091083768640029,0.12397414987508042,0.048656312065589756,2.385249891922787,6.12259694868114e-05,1.6551279529224938e-08,7.978583679235249,94.61809324653865,14.666666666666666,35.95379626744566,-55.46677031570651,4.441166496431801,0.5230964844288228,0.13926814122614922,0.3780690337615072,0.2699909950856725,0.13999536438604135,7.320241393476002,1.97989941869979,304.87079777516084,-0.4224634437520294,0.5404513743670881,0.0397489516108628,0.023848806419182342,25.40887146431669,0.07109675616327281,2.1428005396742273,0.25689073824733405,0.15635818914149346,0.19942977859293157,0.1265747332478766,0.15577588893542776,804.7768229166667,14.367761071218975,0.03279283905884684,0.05404110772669568,0.39049176171758937,0.5497085806562528,0.3185971299888665,1.9468708764207714,4.18378697362907,12994.622478330883,0.85959109804668,0.2644998554384093,1.4775221272971215,190.13352465163538,4.033434972930075,0.49421284448202724,50.97355063073337,-0.3770876582711939,6.333333333333333,15,Shrubland - Temperate
KN-15,2015-05-09,3811.9712504901313,2.487593101142958e-10,3.769184956920116e-05,-0.052534197770466015,7.180128071736709,91.17378452452807,-41.53515058203206,1.7898455511179343,0.00883533553285532,0.953301553165222,0.15546516972938723,803.3333333333334,5.900943864126421,0.11108295370137905,0.04614321707788543,2.2785485982611666,7.663339132390164e-05,5.562617598987594e-08,8.710782788787464,98.04601591511383,15.066666666666666,39.16241959063896,-52.165394580833876,4.348414084752463,0.4512804526389196,0.126065804278627,0.3797979241841472,0.294988670962803,0.12433964250920865,7.719912501792305,1.954573574234329,303.63109815720003,-0.666218967722491,0.27421279720449665,0.13951612332759708,0.05582685765102294,22.095650450745097,0.17356388733670844,1.9292437688048212,0.3697136382763719,0.16104604641292447,0.192212748528197,0.12880753068238765,0.15468137150069872,799.1236979166666,12.925719015785313,0.0290581575319794,0.056500652229923044,0.37461439802249225,0.5437307163275571,0.3191784355082866,1.7295294036504367,3.7277477311117675,9280.9232612045,0.841994081470061,0.1856227519213494,1.398757208560581,176.5961438266768,3.382585318848024,0.42969989955853893,50.97287739627063,-0.37539241835475,6.2,15,Shrubland - Temperate
KN-15,2015-05-10,5418.377809832282,3.9569771664507994e-10,4.010169687316762e-05,-0.000767790312515107,7.077692489017718,88.69357649359577,-43.88678979909816,2.285663305320081,0.00672762405549594,0.9533507777271768,0.16511420515564457,853.2,6.226111218258921,0.12669246046844473,0.05008014059827795,2.539751688915428,8.861208218543703e-05,5.689093958995777e-08,7.854019031129721,89.53851549052729,21.2,37.186821578729095,-55.32765094849553,5.535072440504259,0.5247331862233712,0.1025781394453923,0.42204673583857494,0.30492754562689,0.15085565670888926,8.897216260299793,2.1423814450170107,307.4883118576034,-0.48079346722601507,0.48159853322143914,0.12375865607723707,0.14854054566867386,26.95061534013497,0.3232043474291916,2.195696864388206,0.22780414928894077,0.18237212375717993,0.20712269483091594,0.13136322399679742,0.16326216986830558,843.456640625,14.054974398176402,0.03981292724504949,0.05810479278313508,0.48479757150663494,0.5551687880731316,0.3204846998364879,2.0351840436670043,4.198363920393616,13917.655839682,0.8656179552146714,0.24992172521294806,1.5888917887637353,242.149727677876,4.739936150225862,0.4961362578836052,50.97287739627063,-0.37539241835475,7.133333333333334,15,Shrubland - Temperate
KN-15,2015-05-11,3819.9680818962383,3.5436994264796466e-10,2.592835719238138e-05,-0.011535333093926714,11.779251523410561,91.05215997040412,-40.751969968476,1.3309434039272097,0.009472872891434194,0.9588306434973713,0.14548036000074296,751.7333333333333,5.4175949194547375,0.10438812945854084,0.043766734517797695,2.3107828851718457,8.242056688910792e-05,3.6453898924685656e-08,8.07573772862814,92.72877928880342,19.733333333333334,39.44743900510437,-51.28546053937472,3.753499457758712,0.49928938196352807,0.1498785714761565,0.4217113941167009,0.30927954310828637,0.14843413004667483,8.300526692506503,2.032814570842896,305.71539102993694,-0.5598637258198719,0.3365996842699425,0.09683945460405889,0.027855689146694784,29.50954599383299,0.1298719066964376,2.0524422989397424,0.33667383621529684,0.1738554457754253,0.21378381612171313,0.1289501895772098,0.16369503056863213,845.688671875,14.655107942520294,0.038466310071102856,0.058772253909500825,0.4750031862370071,0.5524887633543176,0.3189574515473843,1.848245476413973,4.032297951511275,10977.653543367765,0.852745898229845,0.20382198037750357,1.4666195128445394,227.5452478675648,4.654919478632447,0.4761731866605132,50.97287739627063,-0.37539241835475,6.333333333333333,15,Shrubland - Temperate
KN-16,2015-05-09,2523.693030562219,-8.427941738717804e-10,0.0010920692492405596,-0.051384524450506994,19.631796837815905,103.96844882986196,-34.049289674438704,4.996518129948413,0.02259459671931957,0.8753061164258421,0.304045108972867,1571.0714285714287,9.28259693337865,0.27635669436914956,0.07245700278636559,3.8382003543536136,0.00019270560092464394,1.0039697183526754e-06,11.041255344091756,155.96268231714834,15.642857142857142,49.779514857040475,-45.95907299584379,8.7591877661639,0.3468890840240365,0.0973306711549284,0.34541631463441574,0.25215618310469784,0.12012821315503586,7.729981222188941,2.0513792358817655,307.74695661158296,-0.7604316210034703,0.1677504326592787,2.4861555321994664,0.14769025786767168,33.41033614787512,2.5906404041267583,1.4529597780008159,0.6246145563017734,0.210904786152119,0.23320843055319848,0.13749948930512604,0.17824315029525614,920.8444475446429,14.12360572122583,0.04830041083464953,0.06330059362176146,0.6019408751318785,0.5507675681914557,0.29151290222082077,1.1850405012789285,2.995070753258461,4285.166771024191,0.719653150415202,0.09541109082505349,1.5721665971086682,201.0011896483665,4.527891400012286,0.3032163621237431,50.97426024265587,-0.372580792754889,6.357142857142857,14,Shrubland - Temperate
KN-16,2015-05-10,5806.306300951053,-6.657836275944602e-10,4.481947042327883e-05,0.02647734692578526,7.270749139304489,90.94940641376937,-41.46879318209326,2.2625103293921343,0.009381755017747826,0.9445231570263778,0.214121432393356,1106.4,6.238606814378388,0.1852991532754403,0.060148723473109185,2.8932472123159636,0.00010398592478464861,4.257971726690029e-08,5.153870845007479,48.37752074094521,17.933333333333334,38.958363092243026,-54.937988129454354,6.916951134977008,0.6335615474282654,0.12712728211313826,0.40587412859474653,0.28100113535344245,0.13992967475757231,12.410077250277622,2.5492031633468972,306.0130486336113,-0.31188601887909984,0.600323065011694,0.11039936434076013,0.07189810755164025,34.80277543334104,0.2124198279879107,2.10710375573717,0.2910584675269316,0.18436304331987372,0.2261499094969643,0.1307705278478764,0.16982211281205384,877.341015625,14.767410424065893,0.04660248612977096,0.06172557071659572,0.5399845638996749,0.5537301812522497,0.3280574184184806,2.756832921360679,4.914445419952014,15524.79543491278,0.9304719022260686,0.2804236183164563,1.5550806945263977,248.95222879011737,5.549397222123257,0.5981108670106624,50.97426024265587,-0.37258079275488903,6.4,15,Shrubland - Temperate
