indice,r,lower_bound_ci,upper_bound_ci,p_boot,p_perm,habitat,r_threshold
NP,0.5598178048179108,0.54,0.58,0.0,0.0,all_unbalanced,0.05578967990756505
LEQf,0.09565130363280985,0.07,0.12,0.0,0.0,all_unbalanced,0.05578967990756505
BGNf,0.019760781018678324,-0.01,0.05,0.15,0.173,all_unbalanced,0.05578967990756505
SNRf,0.2853115687985232,0.26,0.31,0.0,0.0,all_unbalanced,0.05578967990756505
Hf,0.2205680106924811,0.19,0.25,0.0,0.0,all_unbalanced,0.05578967990756505
H,0.2107514508428505,0.18,0.23,0.0,0.0,all_unbalanced,0.05578967990756505
EAS,0.5870317990435066,0.57,0.6,0.0,0.0,all_unbalanced,0.05578967990756505
ECU,0.3964975486729716,0.37,0.42,0.0,0.0,all_unbalanced,0.05578967990756505
ECV,0.36300657466878195,0.34,0.39,0.0,0.0,all_unbalanced,0.05578967990756505
EPS,0.618650855703126,0.6,0.64,0.0,0.0,all_unbalanced,0.05578967990756505
EPS_KURT,-0.09846811619477486,-0.13,-0.07,0.0,0.0,all_unbalanced,0.05578967990756505
EPS_SKEW,-0.07036710067704237,-0.1,-0.04,0.0,0.0,all_unbalanced,0.05578967990756505
ACI,0.2542506431510392,0.23,0.28,0.0,0.0,all_unbalanced,0.05578967990756505
NDSI,0.41883969804035726,0.4,0.44,0.0,0.0,all_unbalanced,0.05578967990756505
rBA,0.41883969804035726,0.4,0.44,0.0,0.0,all_unbalanced,0.05578967990756505
AnthroEnergy,-0.06260566934226644,-0.09,-0.04,0.0,0.0,all_unbalanced,0.05578967990756505
BioEnergy,0.3766834781004382,0.35,0.4,0.0,0.0,all_unbalanced,0.05578967990756505
BIO,0.5657009595157715,0.55,0.58,0.0,0.0,all_unbalanced,0.05578967990756505
ROU,0.10896945853948892,0.08,0.13,0.0,0.0,all_unbalanced,0.05578967990756505
ADI,-0.135897041141572,-0.16,-0.11,0.0,0.0,all_unbalanced,0.05578967990756505
AEI,0.12903405882328164,0.1,0.16,0.0,0.0,all_unbalanced,0.05578967990756505
LFC,0.3415672467223386,0.32,0.37,0.0,0.0,all_unbalanced,0.05578967990756505
MFC,0.5784427018064127,0.56,0.6,0.0,0.0,all_unbalanced,0.05578967990756505
HFC,-0.07799070315480049,-0.1,-0.05,0.0,0.0,all_unbalanced,0.05578967990756505
ACTspFract,0.49282003929798374,0.47,0.51,0.0,0.0,all_unbalanced,0.05578967990756505
ACTspCount,0.4927558180591617,0.47,0.51,0.0,0.0,all_unbalanced,0.05578967990756505
ACTspMean,0.5709212994291173,0.55,0.59,0.0,0.0,all_unbalanced,0.05578967990756505
EVNspFract,0.573439820720839,0.55,0.59,0.0,0.0,all_unbalanced,0.05578967990756505
EVNspMean,0.46599520892051,0.44,0.49,0.0,0.0,all_unbalanced,0.05578967990756505
EVNspCount,0.5568563690123051,0.54,0.58,0.0,0.0,all_unbalanced,0.05578967990756505
TFSD,0.4925892848338194,0.47,0.51,0.0,0.0,all_unbalanced,0.05578967990756505
H_Havrda,0.29451630774742615,0.27,0.32,0.0,0.0,all_unbalanced,0.05578967990756505
H_Renyi,0.29451630774742615,0.27,0.32,0.0,0.0,all_unbalanced,0.05578967990756505
H_pairedShannon,0.22311130948313804,0.2,0.25,0.0,0.0,all_unbalanced,0.05578967990756505
